 175 127 6
 0  84  7  0
 85 86  6  0
 87 102 3  0
 103 104 3 0
 105 110 4 1
 111 126 5 1
  1.08 -0.17 -0.14
  1.08  0.17 -0.14
 -1.16  0.08 -0.10
 -1.60  0.06 -0.10
 -1.60 -0.06 -0.10
 -1.16 -0.08 -0.10
  1.02 -0.10 -0.27
  1.02  0.10 -0.27
  1.14  0.00  0.27
  1.14  0.17  0.23
  1.06  0.25  0.23
  0.99  0.33  0.17
  0.99  0.33  0.06
 -0.41  0.21 -0.07
 -0.41  0.15 -0.10
 -0.41  0.25  0.19
 -0.41  0.28  0.15
 -0.41  0.28  0.00
  1.06  0.23  0.02
  1.08  0.17  0.02
  1.14 -0.17  0.23
  1.06 -0.25  0.23
  0.99 -0.33  0.17
  0.99 -0.33  0.06
 -0.41 -0.21 -0.07
 -0.41 -0.15 -0.10
 -0.41  0.00  0.19
 -0.41 -0.25  0.19
 -0.41 -0.28  0.15
 -0.41 -0.28  0.00
  1.06 -0.23  0.02
  1.08 -0.17  0.02
 -1.60  0.00  0.19
 -1.60  0.17  0.19
 -1.60  0.20  0.15
 -1.60  0.20  0.00
 -1.60  0.14 -0.07
 -1.60  0.08 -0.10
 -1.60  0.00  0.19
 -1.60 -0.17  0.19
 -1.60 -0.20  0.15
 -1.60 -0.20  0.00
 -1.60 -0.14 -0.07
 -1.60 -0.08 -0.10
  1.14  0.17  0.02
  1.14 -0.17  0.02
  1.74  0.17 -0.10
  1.74  0.17  0.23
  1.74 -0.17 -0.10
  1.74 -0.17  0.23
  1.74  0.00  0.27
  2.13  0.15  0.02
  2.13 -0.15  0.02
  2.13  0.15  0.19
  2.13 -0.15  0.19
  2.13  0.12  0.23
  2.13 -0.12  0.23
  2.13  0.00  0.23
  2.13  0.12 -0.02
  2.13 -0.12 -0.02
  2.90  0.00  0.15
  1.39 -0.10 -0.27
  1.39  0.10 -0.27
  1.50  0.17 -0.11
  1.50 -0.17 -0.11
  1.74  0.05 -0.10
  1.74 -0.05 -0.10
 -0.33  1.29  0.15
 -0.08  1.29  0.15
  0.44  0.48  0.15
  0.72  0.44  0.15
  0.93  0.32  0.15
 -0.33 -1.29  0.15
 -0.08 -1.29  0.15
  0.44 -0.48  0.15
  0.72 -0.44  0.15
  0.93 -0.32  0.15
 -1.43  0.21  0.15
 -1.40  0.72  0.15
 -1.22  0.72  0.15
 -0.91  0.24  0.15
 -1.43 -0.21  0.15
 -1.40 -0.72  0.15
 -1.22 -0.72  0.15
 -0.91 -0.24  0.15
 -1.52  0.00 -0.10
 -1.33  0.00 -0.79
 -1.10  0.00 -0.79
 -0.72  0.00 -0.27
 -0.48  0.00 -0.15
 -1.16 -0.02 -0.10
 -0.33  1.29  0.16
 -0.33  1.29  0.15
  0.43  1.29  0.15
  0.43  1.29  0.16
 -0.33 -1.29  0.16
 -0.33 -1.29  0.15
  0.43 -1.29  0.15
  0.43 -1.29  0.16
 -1.61  0.06 -0.03
 -1.61  0.15 -0.03
 -1.61  0.19  0.00
 -1.61  0.19  0.09
 -1.61  0.15  0.13
 -1.61  0.06  0.13
 -1.61  0.02  0.09
 -1.61  0.02  0.00
 -1.61 -0.06 -0.03
 -1.61 -0.15 -0.03
 -1.61 -0.19  0.00
 -1.61 -0.19  0.09
 -1.61 -0.15  0.13
 -1.61 -0.06  0.13
 -1.61 -0.02  0.09
 -1.61 -0.02  0.00
 -1.60  0.05 -0.04
 -1.60  0.15 -0.04
 -1.60  0.19  0.00
 -1.60  0.19  0.10
 -1.60  0.15  0.14
 -1.60  0.05  0.14
 -1.60  0.01  0.10
 -1.60  0.01  0.00
 -1.60 -0.05 -0.04
 -1.60 -0.15 -0.04
 -1.60 -0.19  0.00
 -1.60 -0.19  0.10
 -1.60 -0.15  0.14
 -1.60 -0.05  0.14
 -1.60 -0.01  0.10
 -1.60 -0.01  0.00
 -1.74  0.06 -0.03
 -1.74  0.14 -0.03
 -1.74  0.18  0.01
 -1.74  0.18  0.09
 -1.74  0.14  0.13
 -1.74  0.06  0.13
 -1.74  0.02  0.09
 -1.74  0.02  0.01
 -1.74 -0.06 -0.03
 -1.74 -0.14 -0.03
 -1.74 -0.18  0.01
 -1.74 -0.18  0.09
 -1.74 -0.14  0.13
 -1.74 -0.06  0.13
 -1.74 -0.02  0.09
 -1.74 -0.02  0.01
  0.43 -0.31  0.13
 -0.15 -0.29  0.13
 -0.15 -0.28  0.18
  0.43 -0.30  0.18
 -0.07 -1.29  0.15
 -0.19 -1.29  0.15
 -0.19 -1.29  0.15
 -0.07 -1.29  0.15
  0.43  0.31  0.13
 -0.15  0.29  0.13
 -0.15  0.28  0.18
  0.43  0.30  0.18
 -0.07  1.29  0.15
 -0.19  1.29  0.15
 -0.19  1.29  0.15
 -0.07  1.29  0.15
 -1.17  0.23  0.14
 -1.17  0.23  0.17
 -1.31  0.72  0.15
 -1.20 -0.23  0.14
 -1.17 -0.23  0.17
 -1.31 -0.72  0.15
 -0.75 -0.02 -0.14
 -0.75  0.02 -0.14
 -1.16  0.02 -0.10
 -1.16  0.00 -0.79
